case_id,split,source_path,true_label,true_label_name,pred_label,pred_label_name,prob_abnormal,decision_threshold
train_000000,train,normal_ecg_images/Normal(182).jpg,0,Normal,0,Normal,0.09761670976877213,0.3
train_000001,train,normal_ecg_images/Normal(145).jpg,0,Normal,0,Normal,0.05552974343299866,0.3
train_000002,train,normal_ecg_images/Normal(234).jpg,0,Normal,0,Normal,0.05695011839270592,0.3
train_000003,train,normal_ecg_images/Normal(152).jpg,0,Normal,0,Normal,0.06903871148824692,0.3
train_000004,train,normal_ecg_images/Normal(236).jpg,0,Normal,0,Normal,0.045209117233753204,0.3
train_000005,train,normal_ecg_images/Normal(57).jpg,0,Normal,0,Normal,0.04722899943590164,0.3
train_000006,train,post_mi_history_ecg_images/PMI(89).jpg,1,Abnormal,1,Abnormal,0.9962542057037354,0.3
train_000007,train,myocardial_infarction_ecg_images/MI(124).jpg,1,Abnormal,1,Abnormal,0.996260404586792,0.3
train_000008,train,myocardial_infarction_ecg_images/MI(42).jpg,1,Abnormal,1,Abnormal,0.9965992569923401,0.3
train_000009,train,myocardial_infarction_ecg_images/MI(75).jpg,1,Abnormal,1,Abnormal,0.9963018894195557,0.3
train_000010,train,post_mi_history_ecg_images/PMI(73).jpg,1,Abnormal,1,Abnormal,0.9965823292732239,0.3
train_000011,train,myocardial_infarction_ecg_images/MI(192).jpg,1,Abnormal,1,Abnormal,0.9965992569923401,0.3
train_000012,train,myocardial_infarction_ecg_images/MI(88).jpg,1,Abnormal,1,Abnormal,0.9966546297073364,0.3
train_000013,train,normal_ecg_images/Normal(8).jpg,0,Normal,0,Normal,0.03088037483394146,0.3
train_000014,train,normal_ecg_images/Normal(98).jpg,0,Normal,0,Normal,0.08744416385889053,0.3
train_000015,train,normal_ecg_images/Normal(195).jpg,0,Normal,0,Normal,0.1812005192041397,0.3
train_000016,train,normal_ecg_images/Normal(226).jpg,0,Normal,0,Normal,0.047903869301080704,0.3
